rh.aparc.a2009s.thickness,rh_G_and_S_frontomargin_thickness,rh_G_and_S_occipital_inf_thickness,rh_G_and_S_paracentral_thickness,rh_G_and_S_subcentral_thickness,rh_G_and_S_transv_frontopol_thickness,rh_G_and_S_cingul-Ant_thickness,rh_G_and_S_cingul-Mid-Ant_thickness,rh_G_and_S_cingul-Mid-Post_thickness,rh_G_cingul-Post-dorsal_thickness,rh_G_cingul-Post-ventral_thickness,rh_G_cuneus_thickness,rh_G_front_inf-Opercular_thickness,rh_G_front_inf-Orbital_thickness,rh_G_front_inf-Triangul_thickness,rh_G_front_middle_thickness,rh_G_front_sup_thickness,rh_G_Ins_lg_and_S_cent_ins_thickness,rh_G_insular_short_thickness,rh_G_occipital_middle_thickness,rh_G_occipital_sup_thickness,rh_G_oc-temp_lat-fusifor_thickness,rh_G_oc-temp_med-Lingual_thickness,rh_G_oc-temp_med-Parahip_thickness,rh_G_orbital_thickness,rh_G_pariet_inf-Angular_thickness,rh_G_pariet_inf-Supramar_thickness,rh_G_parietal_sup_thickness,rh_G_postcentral_thickness,rh_G_precentral_thickness,rh_G_precuneus_thickness,rh_G_rectus_thickness,rh_G_subcallosal_thickness,rh_G_temp_sup-G_T_transv_thickness,rh_G_temp_sup-Lateral_thickness,rh_G_temp_sup-Plan_polar_thickness,rh_G_temp_sup-Plan_tempo_thickness,rh_G_temporal_inf_thickness,rh_G_temporal_middle_thickness,rh_Lat_Fis-ant-Horizont_thickness,rh_Lat_Fis-ant-Vertical_thickness,rh_Lat_Fis-post_thickness,rh_Pole_occipital_thickness,rh_Pole_temporal_thickness,rh_S_calcarine_thickness,rh_S_central_thickness,rh_S_cingul-Marginalis_thickness,rh_S_circular_insula_ant_thickness,rh_S_circular_insula_inf_thickness,rh_S_circular_insula_sup_thickness,rh_S_collat_transv_ant_thickness,rh_S_collat_transv_post_thickness,rh_S_front_inf_thickness,rh_S_front_middle_thickness,rh_S_front_sup_thickness,rh_S_interm_prim-Jensen_thickness,rh_S_intrapariet_and_P_trans_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_occipital_ant_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_parieto_occipital_thickness,rh_S_pericallosal_thickness,rh_S_postcentral_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_suborbital_thickness,rh_S_subparietal_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_transverse_thickness,rh_MeanThickness_thickness
sub-002,2.276,2.746,2.107,2.904,2.519,2.429,2.444,2.52,2.992,2.552,1.655,2.782,2.6,2.855,2.607,2.836,3.725,3.471,2.567,2.027,2.939,1.997,3.5,2.949,2.781,2.742,2.36,1.957,2.695,2.616,2.614,2.558,2.279,2.966,3.602,2.773,3.083,3.082,2.415,2.454,2.785,1.777,3.599,1.81,1.898,2.441,2.954,3.04,2.841,2.791,2.127,2.239,1.835,2.146,2.266,2.207,1.982,2.25,2.538,2.666,2.424,2.376,2.522,2.168,2.168,1.745,2.057,2.607,2.335,2.137,2.561,2.654,2.611,2.119,2.51794
sub-008,2.215,2.506,2.2,3.005,2.508,2.534,2.652,2.651,3.066,2.922,1.682,2.859,2.748,2.772,2.557,2.868,3.329,3.529,2.539,2.078,2.869,1.688,3.343,3.056,2.679,2.93,2.553,1.903,2.64,2.678,2.207,2.361,2.442,2.998,3.379,2.506,2.654,3.067,2.434,2.153,2.433,1.737,3.495,1.81,1.78,2.368,2.992,2.531,2.645,2.715,2.128,2.112,2.066,2.159,2.411,2.059,2.106,2.067,2.272,2.508,2.394,2.329,1.845,2.426,2.206,1.731,1.915,2.281,2.364,2.888,2.574,2.541,2.48,2.644,2.44484
sub-013,2.167,2.604,2.224,2.74,2.437,2.343,2.604,2.637,2.968,2.893,1.668,2.824,3.008,2.592,2.506,2.923,3.427,3.359,2.6,1.902,2.891,1.984,3.331,3.032,2.739,2.86,2.45,2.089,2.865,2.566,2.375,2.907,2.695,3.027,3.109,2.834,2.929,3.028,2.16,2.53,2.827,1.701,3.524,1.884,1.874,2.304,3.15,2.774,2.616,2.83,2.464,2.221,1.825,2.264,2.211,2.301,2.043,2.073,2.196,2.555,2.621,2.025,2.349,2.565,2.247,1.849,2.284,2.483,2.623,1.642,2.442,2.555,2.636,2.937,2.514
sub-021,2.231,3.09,2.27,2.797,2.481,2.445,2.591,2.536,2.89,2.576,1.868,3.002,2.963,2.897,2.719,2.906,3.445,3.726,2.581,2.163,2.849,2.166,3.135,2.795,2.829,2.891,2.507,2.675,1.864,2.804,2.423,2.678,2.609,2.858,3.49,2.383,2.853,3.143,2.244,2.038,2.613,1.866,3.634,1.925,1.981,2.492,2.846,3.046,2.7,2.333,2.571,2.32,2.066,2.446,2.332,2.455,2.248,2.191,2.317,2.534,2.452,2.003,1.772,2.1,2.395,1.568,2.345,2.436,1.855,1.855,2.675,2.673,2.608,2.234,2.53788
sub-022,2.282,2.579,2.203,3.005,2.516,2.441,2.593,2.554,2.887,2.75,1.826,2.97,2.923,2.669,2.593,2.764,3.759,3.722,2.513,2.238,2.936,2.103,3.411,2.884,2.714,2.763,2.376,2.18,2.697,2.59,2.801,2.66,2.851,3.207,3.058,2.69,2.756,3.074,2.489,2.367,2.727,1.774,3.75,1.791,1.85,2.187,3.114,2.763,2.733,2.63,2.107,2.18,1.879,2.418,2.63,2.205,2.24,2.257,2.629,2.305,2.405,2.037,1.871,2.485,2.253,1.604,2.117,2.729,2.351,1.688,2.305,2.485,2.673,2.531,2.50462
sub-023,2.286,2.585,2.159,2.502,2.329,2.572,2.494,2.41,2.868,2.342,1.843,2.756,2.595,2.471,2.584,2.627,3.558,3.242,2.344,1.873,2.686,1.98,2.825,2.786,2.656,2.53,2.196,2.21,1.831,2.436,2.586,2.768,2.371,2.99,3.124,2.211,2.893,2.896,1.99,2.135,2.457,1.732,3.08,1.992,1.925,2.313,2.722,2.511,2.584,2.369,2.236,2.462,2.138,2.306,2.265,2.02,1.921,2.091,2.26,2.275,2.54,1.985,2.555,2.239,2.368,1.589,2.095,1.94,1.505,2.144,2.472,2.404,2.558,2.108,2.38117
sub-030,2.465,2.738,2.261,2.997,2.618,2.278,2.27,2.598,2.877,2.639,2.038,2.754,2.765,2.622,2.661,2.837,3.848,3.444,2.623,2.168,2.91,2.265,3.523,2.967,2.908,3.098,2.453,2.289,2.755,2.501,2.651,2.583,2.663,3.504,3.52,2.846,2.739,3.276,2.453,2.685,2.716,1.642,3.324,2.032,1.925,2.125,2.994,2.902,2.652,2.757,2.313,2.352,2.065,2.563,2.313,2.167,2.251,2.227,2.369,2.575,2.852,2.227,2.306,2.351,2.473,1.742,2.233,2.454,2.699,3.003,2.713,2.632,2.565,3.109,2.56465
sub-033,2.193,2.346,2.109,2.68,2.232,2.297,2.591,2.349,2.698,2.79,1.765,2.866,2.822,2.576,2.464,2.741,3.87,3.51,2.265,2.068,2.805,2.04,3.314,2.675,2.418,2.869,2.34,2.022,2.578,2.405,2.482,2.86,2.352,3.037,2.717,2.555,2.843,3.075,1.967,2.555,2.568,1.786,3.373,2.115,1.879,2.202,2.7,2.726,2.548,2.577,1.834,2.119,1.814,2.138,2.445,2.017,1.912,2.063,2.497,2.518,2.393,2.02,2.058,1.892,2.159,1.59,1.984,2.371,2.574,2.291,2.295,2.523,2.525,2.56,2.40243
sub-035,2.232,2.562,2.129,2.863,2.444,2.547,2.507,2.579,2.754,2.498,1.727,3.162,2.9,2.616,2.659,2.879,3.879,3.295,2.328,1.845,2.905,2.067,3.264,2.877,2.776,2.954,2.443,1.95,2.956,2.461,2.842,2.925,2.514,3.286,2.966,2.696,2.838,3.191,2.318,2.804,2.478,1.601,3.549,1.85,1.733,2.065,2.849,2.548,2.768,2.59,1.982,2.416,2.04,2.182,2.032,2.077,2.004,1.832,2.057,2.552,2.405,1.995,1.975,2.196,2.056,1.452,1.985,2.417,2.471,1.743,2.469,2.412,2.602,2.7,2.4719
sub-036,2.353,2.628,2.121,2.772,2.484,2.476,2.72,2.716,3.202,2.356,1.732,3.073,2.78,2.66,2.595,2.862,4.067,3.375,2.399,2.03,2.79,1.842,3.251,2.978,2.654,2.846,2.299,2.047,2.596,2.574,2.558,2.476,2.282,3.11,3.822,2.619,2.858,3.218,2.256,2.424,2.41,1.734,3.777,1.862,1.7,2.217,3.103,2.667,2.757,2.996,2.105,2.324,2.195,2.234,2.272,2.016,2.025,1.885,2.06,2.443,2.311,2.054,2.121,2.427,2.075,1.609,2.085,2.474,2.489,2.421,2.448,2.636,2.662,2.596,2.47243
