"Participant ID","Survey Identifier","Survey Timestamp",Cheerful,Disgusted,Attentive,Bashful,Sluggish,Daring,Surprised,Strong,Scornful,Relaxed,Irritable,Delighted,Inspired,Fearless,"Disgusted with self",Sad,Calm,Afraid,Tired,Amazed,Shaky,Happy,Timid,Alone,Alert,Upset,Angry,Bold,Blue,Shy,Active,Guilty,Joyful,Nervous,Lonely,Sleepy,Excited,Hostile,Proud,Jittery,Lively,Ashamed,"At ease",Scared,Drowsy,"Angry at self",Enthusiastic,Downhearted,Sheepish,Distressed,Blameworthy,Determined,Frightened,Astonished,Interested,Loathing,Confident,Energetic,Concentrating,"Dissatisfied with self",Complete?
TEAM_YA_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_005,,"2024-04-19 14:05:48",4,3,4,3,3,3,3,3,3,2,3,4,4,3,2,2,3,2,4,3,3,4,3,2,2,2,2,3,2,3,3,2,4,4,3,4,4,2,3,3,3,2,2,2,2,2,3,2,2,3,2,4,2,2,4,2,4,3,"1: very slightly or not at all",2,Complete
TEAM_YA_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_008,,"2024-05-17 13:17:30",3,"5: extremely",3,3,4,2,4,4,4,4,4,4,2,2,4,4,4,2,"5: extremely",3,2,4,2,2,3,4,4,3,3,3,4,2,3,2,2,4,3,4,2,2,3,3,3,2,2,2,3,3,"1: very slightly or not at all",4,2,3,3,3,2,3,2,3,2,4,Complete
TEAM_YA_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_011,,"2024-04-26 15:36:55",3,4,2,3,"5: extremely",4,4,2,4,2,4,3,3,3,"5: extremely","5: extremely",3,3,4,3,"5: extremely","1: very slightly or not at all",4,"5: extremely",2,"5: extremely","5: extremely",4,"5: extremely",3,3,4,2,4,"5: extremely","5: extremely",2,3,"1: very slightly or not at all","5: extremely",2,4,"1: very slightly or not at all",4,4,"5: extremely",2,4,3,4,4,"1: very slightly or not at all",3,3,2,"5: extremely",3,2,2,"5: extremely",Complete
TEAM_YA_012,,"2024-04-30 12:12:59",3,3,4,2,3,2,2,4,4,3,4,4,4,3,2,4,3,2,4,3,3,3,2,2,3,4,3,2,3,3,"5: extremely",2,3,3,2,"5: extremely",4,2,4,2,2,2,3,2,4,3,3,2,2,3,2,"5: extremely",2,2,4,2,4,3,3,2,Complete
TEAM_YA_013,,"2024-05-01 14:47:32",4,"1: very slightly or not at all","1: very slightly or not at all",2,"5: extremely",3,"1: very slightly or not at all","5: extremely",3,"5: extremely","1: very slightly or not at all",3,2,2,3,3,"5: extremely","1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all",2,3,3,4,4,3,"1: very slightly or not at all",4,4,"5: extremely",3,3,4,3,2,4,"1: very slightly or not at all",2,2,"5: extremely","1: very slightly or not at all",4,4,4,3,"1: very slightly or not at all",2,2,4,"1: very slightly or not at all","1: very slightly or not at all",2,2,4,3,2,3,Complete
TEAM_YA_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_019,,"2024-06-03 20:43:17",4,2,4,2,2,2,3,3,2,3,3,3,2,3,2,3,4,2,4,3,2,3,2,2,3,2,2,2,2,3,3,2,3,3,2,4,4,"1: very slightly or not at all",2,3,2,2,3,2,3,"1: very slightly or not at all",3,"1: very slightly or not at all",3,2,"1: very slightly or not at all",4,2,2,3,"1: very slightly or not at all",3,3,4,"1: very slightly or not at all",Complete
TEAM_YA_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_021,,"2024-06-12 21:47:17",4,2,"5: extremely","1: very slightly or not at all",2,"1: very slightly or not at all",2,4,"1: very slightly or not at all",3,"1: very slightly or not at all",3,4,2,2,"1: very slightly or not at all",3,"1: very slightly or not at all",3,3,"1: very slightly or not at all",4,3,2,3,2,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",3,"5: extremely",2,4,3,2,3,4,"1: very slightly or not at all",3,"1: very slightly or not at all",3,2,3,"1: very slightly or not at all",2,"1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all",3,"1: very slightly or not at all",4,4,4,"1: very slightly or not at all",Complete
TEAM_YA_022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
